臺灣證券交易所銳聯臺灣就業創造99指數(EMP 99)當日成分股檔
EMP 99 Daily Constituents
2018/11/16
成分股數目,當日收盤指數值,當日收盤報酬指數值
Number of Constituents,Capital Index,Total Return Index
0098,006018.49,007989.84
成分股股票代號,ISIN Code,成分股中文名稱,成分股英文名稱,產業類別,員工人數,當日收盤價,發行股數 (單位：仟股),係數調整前市值 (仟元),調整係數,係數調整後市值 (仟元),成分股權重
Local Code,ISIN Code,Constituents Name (Chinese),Constituents Name (English),Sector Code,Number of employees,Closing Price,Number of Shares in Issue(Unit:1000 Shares),Market Cap. before EMP Factor(Unit: NT$Thousands),Employment Creation Factor(EMP Factor),Market Cap. after EMP Factor(Unit: NT$Thousands),% Weight in EMP 99
1216,TW0001216000,統一            ,UNI-PRESIDENT ENTERPRISES CORP.,02,005438,0074.80,000005682015,000000000425014722,000.12413162,000000000052757766,00.8056%
1301,TW0001301000,台塑            ,FORMOSA PLASTICS CORPORATION,03,005932,0101.00,000006365740,000000000642939740,000.08174240,000000000052555437,00.8025%
1303,TW0001303006,南亞            ,NAN YA PLASTICS CORPORATION,03,011946,0078.00,000007930821,000000000618604038,000.17116765,000000000105884999,01.6168%
1319,TW0001319002,東陽            ,TONG YANG INDUSTRY CO. LTD,03,002871,0041.40,000000591477,000000000024487148,001.08711094,000000000026620246,00.4065%
1326,TW0001326007,台化            ,FORMOSA CHEMICALS & FIBRE CORPORATION,03,004823,0108.00,000005861186,000000000633008088,000.06479299,000000000041014487,00.6263%
1402,TW0001402006,遠東新          ,FAR EASTERN NEW CENTURY CORPORATION,04,003867,0029.35,000005352875,000000000157106881,000.23455049,000000000036849496,00.5627%
1434,TW0001434009,福懋            ,FORMOSA TAFFETA CO. LTD,04,004250,0034.00,000001684664,000000000057278576,000.76679581,000000000043920972,00.6706%
1504,TW0001504009,東元            ,TECO ELECTRIC & MACHINERY CO.  LTD.,05,002410,0017.05,000002002692,000000000034145899,000.53012345,000000000018101542,00.2764%
1513,TW0001513000,中興電          ,CHUNG-HSIN ELECTRIC & MACHINERY MFG. CORP.,05,002012,0020.35,000000420000,000000000008547000,002.33113196,000000000019924185,00.3042%
1605,TW0001605004,華新            ,WALSIN LIHWA CORPORATION,06,002218,0017.30,000003326000,000000000057539800,000.32864955,000000000018910429,00.2887%
1904,TW0001904001,正隆            ,CHENG LOONG CORP.,09,003033,0021.35,000001108274,000000000023661650,001.60509551,000000000037979208,00.5799%
1907,TW0001907004,永豐餘          ,YFY INC.,09,005495,0011.55,000001660371,000000000019177285,002.78109353,000000000053333823,00.8144%
2002,TW0002002003,中鋼            ,CHINA STEEL CORPORATION,10,010229,0024.45,000015734860,000000000384717327,000.27663201,000000000106425127,01.6250%
2049,TW0002049004,上銀            ,HIWIN TECHNOLOGIES CORP.,05,003899,0215.50,000000300562,000000000064771111,000.42560233,000000000027566736,00.4209%
2105,TW0002105004,正新            ,CHENG SHIN RUBBER IND.  CO.  LTD.,11,004948,0040.45,000003241415,000000000131115237,000.33512488,000000000043939978,00.6709%
2204,TW0002204005,中華            ,CHINA MOTOR CORPORATION,12,002039,0023.50,000001384050,000000000032525175,000.52334375,000000000017021847,00.2599%
2206,TW0002206000,三陽工業        ,SANYANG MOTOR CO. LTD.,12,002231,0019.65,000000853595,000000000016773142,001.21565194,000000000020390302,00.3113%
2301,TW0002301009,光寶科          ,LITE-ON TECHNOLOGY CORP.,25,004598,0038.40,000002350867,000000000090273293,000.53585593,000000000048373479,00.7386%
2303,TW0002303005,聯電            ,UNITED MICROELECTRONICS CORP.,24,014992,0011.00,000012424318,000000000136667498,000.66158735,000000000090417488,01.3806%
2308,TW0002308004,台達電          ,DELTA ELECTRONICS  INC.,28,005924,0128.50,000002597543,000000000333784276,000.22469130,000000000074998423,01.1452%
2313,TW0002313004,華通            ,COMPEQ MANUFATURING CO.  LTD.,28,004051,0019.20,000001191820,000000000022882944,001.06385076,000000000024344037,00.3717%
