臺灣證券交易所銳聯臺灣就業創造99指數(EMP 99)次日開盤成分股檔
EMP 99 Open Constituents
2018/11/16

成分股股票代號,ISIN Code,成分股中文名稱,成分股英文名稱,產業類別,員工人數,次日開盤競價基準,發行股數 (單位：仟股),係數調整前市值 (仟元),係數,係數調整後市值 (仟元),成分股權重
Local Code,ISIN Code,Constituents Name (Chinese),Constituents Name (English),Sector Code,Number of employees,Opening Auction Reference Price,Number of Shares in Issue(Unit:1000 Shares),Market Cap. before EMP Factor(Unit: NT$Thousands),Employment Creation Factor(EMP Factor),Market Cap. after EMP Factor(Unit: NT$Thousands),% Weight in EMP 99
1216,TW0001216000,統一            ,UNI-PRESIDENT ENTERPRISES CORP.,02,005438,0073.60,000005682015,000000000418196304,000.12413162,000000000051911385,00.7941%
1301,TW0001301000,台塑            ,FORMOSA PLASTICS CORPORATION,03,005932,0101.00,000006365740,000000000642939740,000.08174240,000000000052555437,00.8040%
1303,TW0001303006,南亞            ,NAN YA PLASTICS CORPORATION,03,011946,0077.50,000007930821,000000000614638628,000.17116765,000000000105206249,01.6094%
1319,TW0001319002,東陽            ,TONG YANG INDUSTRY CO. LTD,03,002871,0037.65,000000591477,000000000022269109,001.08711094,000000000024208992,00.3703%
1326,TW0001326007,台化            ,FORMOSA CHEMICALS & FIBRE CORPORATION,03,004823,0107.50,000005861186,000000000630077495,000.06479299,000000000040824605,00.6245%
1402,TW0001402006,遠東新          ,FAR EASTERN NEW CENTURY CORPORATION,04,003867,0031.20,000005352875,000000000167009700,000.23455049,000000000039172207,00.5992%
1434,TW0001434009,福懋            ,FORMOSA TAFFETA CO. LTD,04,004250,0034.00,000001684664,000000000057278576,000.76679581,000000000043920972,00.6719%
1504,TW0001504009,東元            ,TECO ELECTRIC & MACHINERY CO.  LTD.,05,002410,0016.85,000002002692,000000000033745360,000.53012345,000000000017889207,00.2737%
1513,TW0001513000,中興電          ,CHUNG-HSIN ELECTRIC & MACHINERY MFG. CORP.,05,002012,0020.30,000000420000,000000000008526000,002.33113196,000000000019875231,00.3040%
1605,TW0001605004,華新            ,WALSIN LIHWA CORPORATION,06,002218,0017.00,000003326000,000000000056542000,000.32864955,000000000018582503,00.2843%
1904,TW0001904001,正隆            ,CHENG LOONG CORP.,09,003033,0021.20,000001108274,000000000023495409,001.60509551,000000000037712375,00.5769%
1907,TW0001907004,永豐餘          ,YFY INC.,09,005495,0011.40,000001660371,000000000018928229,002.78109353,000000000052641176,00.8053%
2002,TW0002002003,中鋼            ,CHINA STEEL CORPORATION,10,010229,0024.10,000015734860,000000000379210126,000.27663201,000000000104901659,01.6047%
2049,TW0002049004,上銀            ,HIWIN TECHNOLOGIES CORP.,05,003899,0218.50,000000300562,000000000065672797,000.42560233,000000000027950495,00.4276%
2105,TW0002105004,正新            ,CHENG SHIN RUBBER IND.  CO.  LTD.,11,004948,0039.25,000003241415,000000000127225539,000.33512488,000000000042636443,00.6522%
2204,TW0002204005,中華            ,CHINA MOTOR CORPORATION,12,002039,0023.25,000001384050,000000000032179163,000.52334375,000000000016840764,00.2576%
